Vertices,Edges,ExecutionTime,NormalizedTime
10,22,742000,7563.13261679277
20,95,255600,409.52594336742106
30,217,762900,452.9594790367346
40,390,836100,249.07213685310867
50,612,724500,127.878787140394
60,885,1058500,122.17591165383183
70,1207,1656500,134.06103239717564
80,1580,2290200,136.4138329305135
90,2002,2698400,122.89818009054207
100,2475,3351000,120.10235385212148
